"text","url","date"
"Christian feast day:
Adalard of Corbie
Basil the Great (Eastern Orthodox Church)
Feast of the Circumcision of Christ
Feast of the Holy Name of Jesus (Anglican Communion, Lutheran Church)
Feast of Fools (Medieval Europe)
Fulgentius of Ruspe
Giuseppe Maria Tomasi
Solemnity of Mary, Mother of God, the Octave Day of Christmas, considered a holy day of obligation in some countries (Catholic Church); and its related observances:
World Day of Peace
Telemachus
Zygmunt Gorazdowski
January 1 (Eastern Orthodox liturgics)
Earliest day on which Handsel Monday can fall, while January 7 is the latest; celebrated on the first Monday of the year (Scotland)
Second day of Hogmanay (Scotland) December 31-January 1, in some cases until January 2.
The last day of Kwanzaa (African-Americans)
The eighth of the Twelve Days of Christmas (Western Christianity)
Constitution Day (Italy)
Dissolution of Czechoslovakia-related observances:
Day of the Establishment of the Slovak Republic (Slovakia)
Restoration Day of the Independent Czech State (Czech Republic)
Emancipation Day (United States)
Euro Day (European Union)
Flag Day (Lithuania) commemorates raising of the Lithuanian flag on Gediminas' Tower in 1919
Founding Day (Taiwan) commemorates the establishment of the Provisional Government in Nanjing
Global Family Day
Independence Day (Brunei, Cameroon, Haiti, Sudan)
International Nepali Dhoti and Nepali Topi Day
Jump-up Day (Montserrat)
Kalpataru Day (Ramakrishna Movement)
Kamakura Ebisu, January 1–3 (Kamakura, Kanagawa, Japan)
National Bloody Mary Day (United States)
National Tree Planting Day (Tanzania)
New Year's Day (Gregorian calendar)
Japanese New Year
Novy God Day (Russia)
Sjoogwachi (Okinawa Islands)
Polar Bear Swim Day (Canada and United States)
Public Domain Day (multiple countries)
Triumph of the Revolution (Cuba)","http://en.wikipedia.org/wiki/January_1","January 1"
"Abolition of Slavery Day (Mauritius)
Air Force Day (Nicaragua)
Christian feast day:
Blessed Candelaria of San José
Brigid, patron saint of Ireland (Saint Brigid's Day)
Verdiana
February 1 (Eastern Orthodox liturgics)
Earliest day on which Constitution Day can fall, while February 7 is the latest; celebrated on the first Monday in February. (Mexico)
Federal Territory Day (Kuala Lumpur, Labuan and Putrajaya, Malaysia)
Heroes Day (Rwanda)
Imbolc (Ireland, Scotland, Isle of Man, and some Neopagan groups in the Northern hemisphere)
Memorial Day of the Republic (Hungary)
National Freedom Day (United States)
The start of Black History Month (United States and Canada)","http://en.wikipedia.org/wiki/February_1","February 1"
"Beer Day, marked the end of beer prohibition in 1989 (Iceland)
Christian feast day:
Agnes Tsao Kou Ying (one of the Martyr Saints of China)
Albin
David
Eudokia of Heliopolis
Pope Felix III[54]
Leoluca
Luperculus
Monan
Rudesind
Suitbert
March 1 (Eastern Orthodox liturgics)
Commemoration of Mustafa Barzani's Death (Iraqi Kurdistan)
Disability Day of Mourning[61]
Earliest day on which Laetare Sunday can fall, while April 4 is the latest; celebrated on the fourth Sunday of Lent. (Western Christianity), and its related observances:
Carnaval de la Laetare (Stavelot)
Mothering Sunday (United Kingdom)
Heroes' Day (Paraguay)
Independence Day, celebrates the independence of Bosnia and Herzegovina from Socialist Federal Republic of Yugoslavia in 1992.
National ""Cursed Soldiers"" Remembrance Day (Poland)
Remembrance Day (Marshall Islands)
Saint David's Day or Dydd Gŵyl Dewi Sant (Wales and Welsh communities)
Samiljeol (South Korea)
Southeastern Europe celebration of the beginning of spring:
Baba Marta Day (Bulgaria)
Mărțișor (Romania and Moldova)
The final day (fourth or fifth) of Ayyám-i-Há (Baháʼí Faith)
World Civil Defence Day
Yap Day (Yap State)
Zero Discrimination Day[62]
Self-injury Awareness Day (international)","http://en.wikipedia.org/wiki/March_1","March 1"
"Christian feast day:
Cellach of Armagh
Hugh of Grenoble
Frederick Denison Maurice (Episcopal Church (USA))
Mary of Egypt
Melito of Sardis
Nuno Álvares Pereira
Tewdrig
Theodora
Walric, abbot of Leuconay
April 1 (Eastern Orthodox liturgics)
Iranian Islamic Republic Day (Iran) falls on this day if the Vernal Equinox falls on March 21.
Veneralia was held on April 1 during Ancient Rome; however, this date does not lock into the modern Gregorian calendar.
April Fools' Day[41]
Odisha Day (Odisha, India)
Arbor Day (Tanzania)
Civil Service Day (Thailand)
Cyprus National Day (Cyprus)
Edible Book Day
Fossil Fools Day
Kha b-Nisan, the Assyrian New Year (Assyrian people)","http://en.wikipedia.org/wiki/April_1","April 1"
"Christian feast day:
Andeolus
Augustin Schoeffler, Jean-Louis Bonnard (part of Vietnamese Martyrs)
Benedict of Szkalka
Brioc
James the Less (Anglican Communion)
Joseph the Worker (Roman Catholic)
Blessed Klymentiy Sheptytsky (Ukrainian Greek Catholic Church)
Marcouf
Philip the Apostle (Anglican Communion, Lutheran Church)
Richard Pampuri
Sigismund of Burgundy
Ultan
May 1 (Eastern Orthodox liturgics)
Earliest day on which Mother's Day can fall, while May 7 is the latest; celebrated on the first Monday in May. (Samoa)
Earliest day on which Mother's Day can fall, while May 7 is the latest; celebrated on the first Sunday in May. (Hong Kong, Hungary, Lithuania, Mozambique, Portugal, Spain, Romania)
Earliest day on which National Day of Prayer can fall, while May 7 is the latest; celebrated on the first Thursday in May. (United States)
Earliest day on which World Asthma Day can fall, while May 7 is the latest; celebrated on the first Tuesday in May. (International)
Armed Forces Day (Mauritania)
Constitution Day (Argentina, Latvia, Marshall Islands)
Commemoration of the states of Maharashtra and Gujarat following the foundation of Samyukta Maharashtra Samiti (India):
Maharashtra Day
International Sunflower Guerrilla Gardening Day
Lei Day (Hawaii)
International Workers' Day or Labour Day (International), and its related observances:
Earliest day on which Labour Day can fall, while May 7 is the latest; celebrated on the first Monday of May. (Barbados, Dominica)
Law Day (United States), formerly intended to counterbalance the celebration of Labour Day. (United States)
Loyalty Day, formerly intended to counterbalance the celebration of Labour Day. (United States)
May Day (beginning of Summer) observances in the Northern hemisphere (see April 30):
Beltane (Ireland, Scotland, Isle of Man, Celtic neopagans and Wiccans in the Northern hemisphere)
Earliest day on which Beltane can fall, while May 7 is the latest; celebrated on the first Monday in May. (Ireland, Scotland)
Calan Mai (Wales)
Samhain (Celtic neopagans and Wiccans in the Southern Hemisphere)","http://en.wikipedia.org/wiki/May_1","May 1"
"Children's Day (International), and its related observances:
The Day of Protection of Children Rights (Armenia)
Mothers' and Children's Day (Mongolia)
Christian feast day:
Annibale Maria di Francia
Crescentinus
Fortunatus of Spoleto
Herculanus of Piegaro
Íñigo of Oña
Justin Martyr (Roman Catholic, Eastern Orthodox, Anglican, Lutheran)
Ronan of Locronan
June 1 (Eastern Orthodox liturgics)
Earliest day on which June Holiday can fall, while June 7 is the latest; celebrated on the first Monday in June. (Ireland)
Earliest day on which Labour Day can fall, while June 7 is the latest; celebrated on the first Friday in June. (The Bahamas)
Earliest day on which Teacher's Day can fall, while June 7 is the latest; celebrated on the first Sunday in June. (Hungary)
Earliest day on which the Queen's Birthday can fall, while June 7 is the latest; celebrated on the first Monday in June. (New Zealand, Cook Islands, Fiji)
Earliest day on which Seamen's Day can fall, while June 7 is the latest; celebrated on the first Sunday in June. (Iceland)
Earliest day on which Western Australia Day can fall, while June 7 is the latest; celebrated on the first Sunday in June. (Western Australia)
Global Day of Parents (International)[68]
Independence Day, celebrates the independence of Samoa from New Zealand in 1962.
Madaraka Day (Kenya)
National Maritime Day (Mexico)
National Tree Planting Day (Cambodia)
Pancasila Day (Indonesia)
President's Day (Palau)[69]
The beginning of Crop over, celebrated until the first Monday of August. (Barbados)
Victory Day (Tunisia)
World Milk Day (International)","http://en.wikipedia.org/wiki/June_1","June 1"
"Christian feast day:
Aaron (Syriac Christianity)
Blessed Antonio Rosmini-Serbati
Felix of Como
Junípero Serra
Julius and Aaron
Leontius of Autun
Servanus
Veep
July 1 (Eastern Orthodox liturgics)
Feast of the Most Precious Blood (removed from official Roman Catholic calendar since 1969)
Earliest day on which Alexanderson Day can fall, celebrated on the Sunday closest to July 2. (Sweden)
Earliest day on which CARICOM Day can fall, celebrated on the first Monday of July. (Guyana)
Earliest day on which Constitution Day can fall, celebrated on the first Monday of July. (Cayman Islands)
Earliest day on which Día del Amigo can fall, celebrated on the first Saturday of July. (Peru)
Earliest day on which Fishermen's Holiday can fall, celebrated on the first Friday of July (Marshall Islands)
Earliest day on which Heroes' Day can fall, celebrated on the first Monday ofJuly. (Zambia)
Earliest day on which International Co-operative Day can fall, celebrated on the first Saturday of July.
Earliest day on which International Free Hugs Day can fall, celebrated on the first Saturday of July.
Earliest day on which Navy Day can fall, celebrated on the first Sunday of July. (Ukraine)
Earliest day on which Navy Days can fall, celebrated on the first Saturday and Sunday of July. (Netherlands)
Earliest day on which Youth Day can fall, celebrated on the first Sunday pf July. (Singapore)
Armed Forces Day (Singapore)
Bobby Bonilla Day (United States)
Canada Day, formerly Dominion Day (Canada)
Children's Day (Pakistan)
Communist Party of China Founding Day (China)
Day of Officials and Civil Servants (Hungary)
Doctors' Day (India)
Emancipation Day (Sint Maarten[51] and Sint Eustatius[52])
Engineer's Day (Bahrain, Mexico)
Hong Kong Special Administrative Region Establishment Day (Hong Kong, China)
Independence Day (Burundi), celebrates the independence of Burundi from Belgium in 1962.
Independence Day (Rwanda)
Independence Day (Somalia)
International Tartan Day
July Morning (Bulgaria)
Keti Koti (Emancipation Day) (Suriname)
Madeira Day (Madeira, Portugal)
Moving Day (Quebec) (Canada)
Newfoundland and Labrador Memorial Day
Republic Day (Ghana)
Sir Seretse Khama Day (Botswana)
Territory Day (British Virgin Islands)
The first day of Van Mahotsav, celebrated until July 7. (India)","http://en.wikipedia.org/wiki/July_1","July 1"
"Armed Forces Day (Lebanon)
Armed Forces Day (China) or Anniversary of the Founding of the People's Liberation Army (People's Republic of China)
Azerbaijani Language and Alphabet Day (Azerbaijan)
Emancipation Day is commemorated in many parts of the former British Empire, which marks the day the Slavery Abolition Act 1833 came into effect which abolished chattel slavery in the British Empire:[31]Emancipation Day is a public holiday in Barbados, Bermuda, Guyana, Jamaica,Saint Vincent and the Grenadines, Trinidad and Tobago
Earliest day on which Emancipation Day can fall, where it is commemorated on the first Monday of August, for example in Anguilla, the Bahamas, British Virgin Islands
Earliest day on which Caribana carnival can fall, takes place on the first Weekend of August. (Toronto)
Christian feast day:
Abgar V of Edessa (Syrian Church)
Alphonsus Maria de' Liguori
Æthelwold of Winchester
Bernard Võ Văn Duệ (one of Vietnamese Martyrs)
Blessed Gerhard Hirschfelder
Eusebius of Vercelli
Exuperius of Bayeux
Felix of Girona
Peter Apostle in Chains
Procession of the Cross and the beginning of Dormition Fast (Eastern Orthodoxy)
The Holy Maccabees
August 1 (Eastern Orthodox liturgics)
Earliest day on which August Bank Holiday (Ireland) can fall, while August 7 is the latest; celebrated on the first Monday of August.
Earliest day on which Civic Holiday can fall, while August 7 is the latest; celebrated on the first Monday of August. (Canada)
Earliest day on which Commerce Day, or Frídagur verslunarmanna, can fall, while August 7 is the latest; celebrated on the first Monday of August. (Iceland)
Earliest day on which Constitution Day (Cook Islands) can fall, while August 7 is the latest; celebrated on the first Monday of August.[32]
Earliest day on which Farmers' Day can fall, while August 7 is the latest; celebrated on the first Monday of August. (Zambia)
Earliest day on which International Beer Day can fall, while August 7 is the latest; celebrated on the first Friday of August.
Earliest day on which Friendship Day can fall, while August 7 is the latest; celebrated on the first Sunday of August. (United States)
Earliest day on which Kadooment Day can fall, while August 7 is the latest; celebrated on the first Monday of August (Barbados)
Earliest day on which Labor Day (Samoa) can fall, while August 7 is the latest; celebrated on the first Monday of August (Samoa)
Minden Day (United Kingdom)
National Day, celebrates the independence of Benin from France in 1960.
National Day, commemorates Switzerland becoming a single unit in 1291.
Official Birthday and Coronation Day of the King of Tonga (Tonga)
Parents' Day (Democratic Republic of the Congo)
Statehood Day (Colorado)
Swiss National Day (Switzerland)
The beginning of autumn observances in the Northern hemisphere and spring observances in the Southern hemisphere (Neopagan Wheel of the Year):
Lughnasadh in the Northern hemisphere, Imbolc in the Southern hemisphere; traditionally begins on the eve of August 1. (Gaels, Ireland, Scotland, Neopagans)
Lammas (England, Scotland, Neopagans)
Pachamama Raymi (Quechuan in Ecuador and Peru)
The first day of Carnaval del Pueblo (Burgess Park, London, England)
Victory Day (Cambodia, Laos, Vietnam)
World Scout Scarf Day
Yorkshire Day (Yorkshire, England)","http://en.wikipedia.org/wiki/August_1","August 1"
"Anniversary of the Start of the Armed Struggle (Eritrea)
Christian feast day:
Constantius (Costanzo) of Aquino
David Pendleton Oakerhater (Anglican Communion)
Giles
Loup (Lupus) of Sens
Nivard (Nivo)
Sixtus of Reims
Terentian (Terrence)
Verena
Vibiana
The beginning of the new liturgical year (Eastern Orthodox Church and the Eastern Catholic Church)
September 1 (Eastern Orthodox liturgics)
Constitution Day (Slovakia)
Disaster Prevention Day (Japan)[50]
Earliest day on which Father's Day can fall, while September 7 is the latest; celebrated on the first Sunday in September. (Australia, Fiji, New Zealand, Papua New Guinea)
Earliest day on which Labor Day can fall, while September 7 is the latest; celebrated on the first Monday in September. (Canada, United States, Palau)
First day of school in many countries in Asia, Europe and the Americas.
Flag Day (Honduras)
Independence Day, celebrates the independence of Uzbekistan from the Soviet Union in 1991.
Journalist Day (Taiwan)
Knowledge Day (Russia, Ukraine and Armenia)
Random Acts of Kindness Day (New Zealand)
Veteran's Day (Poland)
Wattle Day (Australia)","http://en.wikipedia.org/wiki/September_1","September 1"
"Armed Forces Day (South Korea)
Beginning of the United States' Fiscal Year
Children's Day (El Salvador, Guatemala, Sri Lanka); celebrated on the first Friday of October (Singapore), assignation and recognition on the first Wednesday of October (Chile)
Christian feast day:
Abai (Syriac Orthodox Church)
Bavo of Ghent
Blessed Edward James
Nicetius (Roman Catholic Church)
Remigius
Thérèse of Lisieux
Protection/Patronage of the Theotokos (Eastern Catholic Churches)
October 1 (Eastern Orthodox liturgics)
Day of Prosecutors (Azerbaijan)
Earliest day on which Teacher's Day can fall, while October 7 is the latest; celebrated on the first Sunday of October. (Belarus, Kyrgyzstan, Latvia, Ukraine)
Earliest day on which World Habitat Day can fall, while October 7 is the latest; celebrated on the first Monday of October. (International)
Ground Forces Day (Russia)
Independence Day, celebrates the independence of Cyprus from United Kingdom in 1960.
Independence Day, celebrates the independence of Nigeria from United Kingdom in 1960.
Independence Day, celebrates the independence of Palau from the UN Trust Territory status in 1994.
Independence Day, celebrates the independence of Tuvalu from United Kingdom in 1978.
International Day of Coffee
International Day of Older Persons[41]
Lincolnshire Day (United Kingdom)[42]
National Day of the People's Republic of China (People's Republic of China)
Pancasila Sanctity Day (Indonesia)
Tampere Day (Finland)[43]
Teacher's Day (Uzbekistan)
Unification Day (Cameroon)","http://en.wikipedia.org/wiki/October_1","October 1"
